MonthlyIncome,FederalMonthlyTax,StateMonthlyTax
6150,673.21,251.07
6200,684.21,253.66
6250,695.21,256.26
6300,706.21,258.85
6350,717.21,261.45
6400,728.21,264.04
6450,739.21,266.64
6500,750.21,269.23
6550,761.21,271.83
6600,772.21,274.42
6650,783.21,277.02
6700,794.21,279.61
6750,805.21,282.21
6800,816.21,284.8
6850,827.21,287.4
6900,838.21,289.99
6950,849.21,292.59
7000,860.21,295.18
7050,871.21,297.78
7100,882.21,300.37
7150,893.21,302.97
7200,904.21,305.56
7250,915.21,308.16
7300,926.21,310.75
7350,937.21,313.35
7400,948.21,315.94
7450,959.21,318.54
7500,970.21,321.13
7550,981.21,323.73
7600,992.21,326.32
7650,1003.21,328.92
7700,1014.21,331.51
7750,1025.21,334.11
7800,1036.21,336.7
7850,1047.21,339.3
7900,1058.21,341.89
7950,1069.21,344.49
8000,1080.21,347.08
8050,1091.21,349.68
8100,1102.21,352.27
8150,1113.21,354.87
8200,1124.21,357.46
8250,1135.21,360.06
8300,1146.21,362.65
8350,1157.21,365.25
8400,1168.21,367.84
8450,1179.21,370.44
8500,1190.21,373.03
8550,1201.21,375.63
8600,1212.21,378.22
8650,1223.21,380.82
8700,1234.21,383.41
8750,1245.21,386.01
8800,1256.21,388.6
8850,1267.21,391.2
8900,1278.21,393.79
8950,1289.21,396.39
9000,1300.21,398.98
9050,1311.21,401.58
9100,1322.21,404.17
9150,1333.21,406.77
9200,1344.21,409.36
9250,1355.21,411.96
9300,1367.0,414.55
9350,1379.0,417.15
9400,1391.0,419.74
9450,1403.0,422.34
9500,1415.0,424.93
9550,1427.0,427.53
9600,1439.0,430.12
9650,1451.0,432.72
9700,1463.0,435.31
9750,1475.0,437.91
9800,1487.0,440.5
9850,1499.0,443.1
9900,1511.0,445.69
9950,1523.0,448.29
10000,1535.0,450.88
10050,1547.0,453.48
10100,1559.0,456.07
10150,1571.0,458.67
10200,1583.0,461.26
10250,1595.0,463.86
10300,1607.0,466.45
10350,1619.0,469.05
10400,1631.0,471.64
10450,1643.0,474.24
10500,1655.0,476.83
10550,1667.0,479.43
10600,1679.0,482.02
10650,1691.0,484.62
10700,1703.0,487.21
10750,1715.0,489.81
10800,1727.0,492.4
10850,1739.0,495.0
10900,1751.0,497.59
10950,1763.0,500.19
11000,1775.0,502.78
11050,1787.0,505.38
11100,1799.0,507.97
11150,1811.0,510.57
11200,1823.0,513.16
11250,1835.0,515.76
11300,1847.0,518.35
11350,1859.0,520.95
11400,1871.0,523.54
11450,1883.0,526.14
11500,1895.0,528.73
11550,1907.0,531.33
11600,1919.0,533.92
11650,1931.0,536.52
11700,1943.0,539.11
11750,1955.0,541.71
11800,1967.0,544.3
11850,1979.0,546.9
11900,1991.0,549.49
11950,2003.0,552.09
12000,2015.0,554.68
12050,2027.0,557.28
12100,2039.0,559.87
12150,2051.0,562.47
12200,2063.0,565.06
12250,2075.0,567.66
12300,2087.0,570.25
12350,2099.0,572.85
12400,2111.0,575.44
12450,2123.0,578.04
12500,2135.0,580.63
12550,2147.0,583.23
12600,2159.0,585.82
12650,2171.0,588.42
12700,2183.0,591.01
12750,2195.0,593.61
12800,2207.0,596.2
12850,2219.0,598.8
12900,2231.0,601.39
12950,2243.0,603.99
13000,2255.0,606.58
13050,2267.0,609.18
13100,2279.0,611.77
13150,2291.0,614.37
13200,2303.0,616.96
13250,2315.0,619.56
13300,2327.0,622.15
13350,2339.0,624.75
13400,2351.0,627.34
13450,2363.0,629.94
13500,2375.0,632.53
13550,2387.0,635.13
13600,2399.0,637.72
13650,2411.0,640.32
13700,2423.0,642.91
13750,2435.0,645.51
13800,2447.0,648.1
13850,2459.0,650.7
13900,2471.0,653.29
13950,2483.0,655.89
14000,2495.0,658.48
14050,2507.0,661.08
14100,2519.0,663.67
14150,2531.0,666.27
14200,2543.0,668.86
14250,2555.0,671.46
14300,2567.0,674.05
14350,2579.0,676.65
14400,2591.0,679.24
14450,2603.0,681.84
14500,2615.0,684.43
14550,2627.0,687.03
14600,2639.0,689.62
14650,2651.0,692.22
14700,2663.0,694.81
14750,2675.0,697.41
14800,2687.0,700.0
14850,2699.0,702.6
14900,2711.0,705.19
14950,2723.0,707.79
15000,2735.0,710.38
15050,2747.0,712.98
15100,2759.0,715.57
15150,2771.0,718.17
15200,2783.0,720.76
15250,2795.0,723.36
15300,2807.0,725.95
15350,2819.0,728.55
15400,2831.0,731.14
15450,2843.0,733.74
15500,2855.0,736.33
15550,2867.0,738.93
15600,2879.0,741.52
15650,2891.0,744.12
15700,2903.0,746.71
15750,2915.0,749.31
15800,2927.0,751.9
15850,2939.0,754.5
15900,2951.0,757.09
15950,2963.0,759.69
16000,2975.0,762.28
16050,2987.0,764.88
16100,2999.0,767.47
16150,3011.0,770.07
16200,3023.0,772.66
16250,3035.0,775.26
16300,3047.0,777.85
16350,3059.0,780.45
16400,3071.0,783.04
16450,3083.0,785.64
16500,3096.0,788.23
16550,3112.0,790.83
16600,3128.0,793.42
16650,3144.0,796.02
16700,3160.0,798.61
16750,3176.0,801.21
16800,3192.0,803.8
16850,3208.0,806.4
16900,3224.0,808.99
16950,3240.0,811.59
17000,3256.0,814.18
17050,3272.0,816.78
17100,3288.0,819.37
17150,3304.0,821.97
17200,3320.0,824.56
17250,3336.0,827.16
17300,3352.0,829.75
17350,3368.0,832.35
17400,3384.0,834.94
17450,3400.0,837.54
17500,3416.0,840.13
17550,3432.0,842.73
17600,3448.0,845.32
17650,3464.0,847.92
17700,3480.0,850.51
17750,3496.0,853.11
17800,3512.0,855.7
17850,3528.0,858.3
17900,3544.0,860.89
17950,3560.0,863.49
18000,3576.0,866.08
18050,3592.0,868.68
18100,3608.0,871.27
18150,3624.0,873.87
18200,3640.0,876.46
18250,3656.0,879.06
18300,3672.0,881.65
18350,3688.0,884.25
18400,3704.0,886.84
18450,3720.0,889.44
18500,3736.0,892.03
18550,3752.0,894.63
18600,3768.0,897.22
18650,3784.0,899.82
18700,3800.0,902.41
18750,3816.0,905.01
18800,3832.0,907.6
18850,3848.0,910.2
18900,3864.0,912.79
18950,3880.0,915.39
19000,3896.0,917.98
19050,3912.0,920.58
19100,3928.0,923.17
19150,3944.0,925.77
19200,3960.0,928.36
19250,3976.0,930.96
19300,3992.0,933.55
19350,4008.0,936.15
19400,4024.0,938.74
19450,4040.0,941.34
19500,4056.0,943.93
19550,4072.0,946.53
19600,4088.0,949.12
19650,4104.0,951.72
19700,4120.0,954.31
19750,4136.0,956.91
19800,4152.0,959.5
19850,4168.0,962.1
19900,4184.0,964.69
19950,4200.0,967.29
20000,4216.0,969.88
20050,4232.0,972.48
20100,4248.0,975.07
20150,4264.0,977.67
20200,4280.0,980.26
20250,4296.0,982.86
20300,4312.0,985.45
20350,4328.0,988.05
20400,4344.0,990.64
20450,4360.0,993.24
20500,4376.0,995.83
20550,4392.0,998.43
20600,4408.5,1001.02
20650,4426.0,1003.62
20700,4443.5,1006.21
20750,4461.0,1008.81
20800,4478.5,1011.4
20850,4496.0,1014.0
20900,4513.5,1016.59
20950,4531.0,1019.19
21000,4548.5,1021.78
21050,4566.0,1024.38
21100,4583.5,1026.97
21150,4601.0,1029.57
21200,4618.5,1032.16
21250,4636.0,1034.76
21300,4653.5,1037.35
21350,4671.0,1039.95
21400,4688.5,1042.54
21450,4706.0,1045.14
21500,4723.5,1047.73
21550,4741.0,1050.33
21600,4758.5,1052.92
21650,4776.0,1055.52
21700,4793.5,1058.11
21750,4811.0,1060.71
21800,4828.5,1063.3
21850,4846.0,1065.9
21900,4863.5,1068.49
21950,4881.0,1071.09
22000,4898.5,1073.68
22050,4916.0,1076.28
22100,4933.5,1078.87
22150,4951.0,1081.47
22200,4968.5,1084.06
22250,4986.0,1086.66
22300,5003.5,1089.25
22350,5021.0,1091.85
22400,5038.5,1094.44
22450,5056.0,1097.04
22500,5073.5,1099.63
22550,5091.0,1102.23
22600,5108.5,1104.82
22650,5126.0,1107.42
22700,5143.5,1110.01
22750,5161.0,1112.61
22800,5178.5,1115.2
22850,5196.0,1117.8
22900,5213.5,1120.39
22950,5231.0,1122.99
23000,5248.5,1125.58
23050,5266.0,1128.18
23100,5283.5,1130.77
23150,5301.0,1133.37
23200,5318.5,1135.96
23250,5336.0,1138.56
23300,5353.5,1141.15
23350,5371.0,1143.75
23400,5388.5,1146.34
23450,5406.0,1148.94
23500,5423.5,1151.53
23550,5441.0,1154.13
23600,5458.5,1156.72
23650,5476.0,1159.32
23700,5493.5,1161.91
23750,5511.0,1164.51
23800,5528.5,1167.1
23850,5546.0,1169.7
23900,5563.5,1172.29
23950,5581.0,1174.89
24000,5598.5,1177.48
24050,5616.0,1180.08
24100,5633.5,1182.67
24150,5651.0,1185.27
24200,5668.5,1187.86
24250,5686.0,1190.46
24300,5703.5,1193.05
24350,5721.0,1195.65
24400,5738.5,1198.24
24450,5756.0,1200.84
24500,5773.5,1203.43
24550,5791.0,1206.03
24600,5808.5,1208.62
24650,5826.0,1211.22
24700,5843.5,1213.81
24750,5861.0,1216.41
24800,5878.5,1219.0
24850,5896.0,1221.6
24900,5913.5,1224.19
24950,5931.0,1226.79
25000,5948.5,1229.38
25050,5966.0,1231.98
25100,5983.5,1234.57
25150,6001.0,1237.17
25200,6018.5,1239.76
25250,6036.0,1242.36
25300,6053.5,1244.95
25350,6071.0,1247.55
25400,6088.5,1250.14
25450,6106.0,1252.74
25500,6123.5,1255.33
25550,6141.0,1257.93
25600,6158.5,1260.52
25650,6176.0,1263.12
25700,6193.5,1265.71
25750,6211.0,1268.31
25800,6228.5,1270.9
25850,6246.0,1273.5
25900,6263.5,1276.09
25950,6281.0,1278.69
26000,6298.5,1281.28
26050,6316.0,1283.88
26100,6333.5,1286.47
26150,6351.0,1289.07
26200,6368.5,1291.66
26250,6386.0,1294.26
26300,6403.5,1296.85
26350,6421.0,1299.45
26400,6438.5,1302.04
26450,6456.0,1304.64
26500,6473.5,1307.23
26550,6491.0,1309.83
26600,6508.5,1312.42
26650,6526.0,1315.02
26700,6543.5,1317.61
26750,6561.0,1320.21
26800,6578.5,1322.8
26850,6596.0,1325.4
26900,6613.5,1327.99
26950,6631.0,1330.59
27000,6648.5,1333.18
27050,6666.0,1335.78
27100,6683.5,1338.37
27150,6701.0,1340.97
27200,6718.5,1343.56
27250,6736.0,1346.16
27300,6753.5,1348.75
27350,6771.0,1351.35
27400,6788.5,1353.94
27450,6806.0,1356.54
27500,6823.5,1359.13
27550,6841.0,1361.73
27600,6858.5,1364.32
27650,6876.0,1366.92
27700,6893.5,1369.51
27750,6911.0,1372.11
27800,6928.5,1374.7
27850,6946.0,1377.3
27900,6963.5,1379.89
27950,6981.0,1382.49
28000,6998.5,1385.08
28050,7016.0,1387.68
28100,7033.5,1390.27
28150,7051.0,1392.87
28200,7068.5,1395.46
28250,7086.0,1398.06
28300,7103.5,1400.65
28350,7121.0,1403.25
28400,7138.5,1405.84
28450,7156.0,1408.44
28500,7173.5,1411.03
28550,7191.0,1413.63
28600,7208.5,1416.22
28650,7226.0,1418.82
28700,7243.5,1421.41
28750,7261.0,1424.01
28800,7278.5,1426.6
28850,7296.0,1429.2
28900,7313.5,1431.79
28950,7331.0,1434.39
29000,7348.5,1436.98
29050,7366.0,1439.58
29100,7383.5,1442.17
29150,7401.0,1444.77
29200,7418.5,1447.36
29250,7436.0,1449.96
29300,7453.5,1452.55
29350,7471.0,1455.15
29400,7488.5,1457.74
29450,7506.0,1460.34
29500,7523.5,1462.93
29550,7541.0,1465.53
29600,7558.5,1468.12
29650,7576.0,1470.72
29700,7593.5,1473.31
29750,7611.0,1475.91
29800,7628.5,1478.5
29850,7646.0,1481.1
29900,7663.5,1483.69
29950,7681.0,1486.29
30000,7698.5,1488.88
30050,7716.0,1491.48
30100,7733.5,1494.07
30150,7751.0,1496.67
30200,7768.5,1499.26
30250,7786.0,1501.86
30300,7803.5,1504.45
30350,7821.0,1507.05
30400,7838.5,1509.64
30450,7856.0,1512.24
30500,7873.5,1514.83
30550,7891.0,1517.43
30600,7908.5,1520.02
30650,7926.0,1522.62
30700,7943.5,1525.21
30750,7961.0,1527.81
30800,7978.5,1530.4
30850,7996.0,1533.0
30900,8013.5,1535.59
30950,8031.0,1538.19
31000,8048.5,1540.78
31050,8066.0,1543.38
31100,8083.5,1545.97
31150,8101.0,1548.57
31200,8118.5,1551.16
31250,8136.0,1553.76
31300,8153.5,1556.35
31350,8171.0,1558.95
31400,8188.5,1561.54
31450,8206.0,1564.14
31500,8223.5,1566.73
31550,8241.0,1569.33
31600,8258.5,1571.92
31650,8276.0,1574.52
31700,8293.5,1577.11
31750,8311.0,1579.71
31800,8328.5,1582.3
31850,8346.0,1584.9
31900,8363.5,1587.49
31950,8381.0,1590.09
32000,8398.5,1592.68
32050,8416.0,1595.28
32100,8433.5,1597.87
32150,8451.0,1600.47
32200,8468.5,1603.06
32250,8486.0,1605.66
32300,8503.5,1608.25
32350,8521.0,1610.85
32400,8538.5,1613.44
32450,8556.0,1616.04
32500,8573.5,1618.63
32550,8591.0,1621.23
32600,8608.5,1623.82
32650,8626.0,1626.42
32700,8643.5,1629.01
32750,8661.0,1631.61
32800,8678.5,1634.2
32850,8696.0,1636.8
32900,8713.5,1639.39
32950,8731.0,1641.99
33000,8748.5,1644.58
33050,8766.0,1647.18
33100,8783.5,1649.77
33150,8801.0,1652.37
33200,8818.5,1654.96
33250,8836.0,1657.56
33300,8853.5,1660.15
33350,8871.0,1662.75
33400,8888.5,1665.34
33450,8906.0,1667.94
33500,8923.5,1670.53
33550,8941.0,1673.13
33600,8958.5,1675.72
33650,8976.0,1678.32
33700,8993.5,1680.91
33750,9011.0,1683.51
33800,9028.5,1686.1
33850,9046.0,1688.7
33900,9063.5,1691.29
33950,9081.0,1693.89
34000,9098.5,1696.48
34050,9116.0,1699.08
34100,9133.5,1701.67
34150,9151.0,1704.27
34200,9168.5,1706.86
34250,9186.0,1709.46
34300,9203.5,1712.05
34350,9221.0,1714.65
34400,9238.5,1717.24
34450,9256.0,1719.84
34500,9273.5,1722.43
34550,9291.0,1725.03
34600,9308.5,1727.62
34650,9326.0,1730.22
34700,9343.5,1732.81
34750,9361.0,1735.41
34800,9378.5,1738.0
34850,9396.0,1740.6
34900,9413.5,1743.19
34950,9431.0,1745.79
35000,9448.5,1748.38
35050,9466.0,1750.98
35100,9483.5,1753.57
35150,9501.0,1756.17
35200,9518.5,1758.76
35250,9536.0,1761.36
35300,9553.5,1763.95
35350,9571.0,1766.55
35400,9588.5,1769.14
35450,9606.0,1771.74
35500,9623.5,1774.33
35550,9641.0,1776.93
35600,9658.5,1779.52
35650,9676.0,1782.12
35700,9693.5,1784.71
35750,9711.0,1787.31
35800,9728.5,1789.9
35850,9746.0,1792.5
35900,9763.5,1795.09
35950,9781.0,1797.69
36000,9798.5,1800.28
36050,9816.0,1802.88
36100,9833.5,1805.47
36150,9851.0,1808.07
36200,9868.5,1810.66
36250,9886.0,1813.26
36300,9903.5,1815.85
36350,9921.0,1818.45
36400,9938.5,1821.04
36450,9956.0,1823.64
36500,9973.5,1826.23
36550,9991.0,1828.83
36600,10008.5,1831.42
36650,10026.0,1834.02
36700,10043.5,1836.61
36750,10061.0,1839.21
36800,10078.5,1841.8
36850,10096.0,1844.4
36900,10113.5,1846.99
36950,10131.0,1849.59
37000,10148.5,1852.18
37050,10166.0,1854.78
37100,10183.5,1857.37
37150,10201.0,1859.97
37200,10218.5,1862.56
37250,10236.0,1865.16
37300,10253.5,1867.75
37350,10271.0,1870.35
37400,10288.5,1872.94
37450,10306.0,1875.54
37500,10323.5,1878.13
37550,10341.0,1880.73
37600,10358.5,1883.32
37650,10376.0,1885.92
37700,10393.5,1888.51
37750,10411.0,1891.11
37800,10428.5,1893.7
37850,10446.0,1896.3
37900,10463.5,1898.89
37950,10481.0,1901.49
38000,10498.5,1904.08
38050,10516.0,1906.68
38100,10533.5,1909.27
38150,10551.0,1911.87
38200,10568.5,1914.46
38250,10586.0,1917.06
38300,10603.5,1919.65
38350,10621.0,1922.25
38400,10638.5,1924.84
38450,10656.0,1927.44
38500,10673.5,1930.03
38550,10691.0,1932.63
38600,10708.5,1935.22
38650,10726.0,1937.82
38700,10743.5,1940.41
38750,10761.0,1943.01
38800,10778.5,1945.6
38850,10796.0,1948.2
38900,10813.5,1950.79
38950,10831.0,1953.39
39000,10848.5,1955.98
39050,10866.0,1958.58
39100,10883.5,1961.17
39150,10901.0,1963.77
39200,10918.5,1966.36
39250,10936.0,1968.96
39300,10953.5,1971.55
39350,10971.0,1974.15
39400,10988.5,1976.74
39450,11006.0,1979.34
39500,11023.5,1981.93
39550,11041.0,1984.53
39600,11058.5,1987.12
39650,11076.0,1989.72
39700,11093.5,1992.31
39750,11111.0,1994.91
39800,11128.5,1997.5
39850,11146.0,2000.1
39900,11163.5,2002.69
39950,11181.0,2005.29
40000,11198.5,2007.88
40050,11216.0,2010.48
40100,11233.5,2013.07
40150,11251.0,2015.67
40200,11268.5,2018.26
40250,11286.0,2020.86
40300,11303.5,2023.45
40350,11321.0,2026.05
40400,11338.5,2028.64
40450,11356.0,2031.24
40500,11373.5,2033.83
40550,11391.0,2036.43
40600,11408.5,2039.02
40650,11426.0,2041.62
40700,11443.5,2044.21
40750,11461.0,2046.81
40800,11478.5,2049.4
40850,11496.0,2052.0
40900,11513.5,2054.59
40950,11531.0,2057.19
41000,11548.5,2059.78
41050,11566.0,2062.38
41100,11583.5,2064.97
41150,11601.0,2067.57
41200,11618.5,2070.16
41250,11636.0,2072.76
41300,11653.5,2075.35
41350,11671.0,2077.95
41400,11688.5,2080.54
41450,11706.0,2083.14
41500,11723.5,2085.73
41550,11741.0,2088.33
41600,11758.5,2090.92
41650,11776.0,2093.52
41700,11793.5,2096.11
41750,11811.0,2098.71
41800,11828.5,2101.3
41850,11846.0,2103.9
41900,11863.5,2106.49
41950,11881.0,2109.09
42000,11898.5,2111.68
42050,11916.0,2114.28
42100,11933.5,2116.87
42150,11951.0,2119.47
42200,11968.5,2122.06
42250,11986.0,2124.66
42300,12003.5,2127.25
42350,12021.0,2129.85
42400,12038.5,2132.44
42450,12056.0,2135.04
42500,12073.5,2137.63
42550,12091.0,2140.23
42600,12108.5,2142.82
42650,12126.0,2145.42
42700,12143.5,2148.01
42750,12161.0,2150.61
42800,12178.5,2153.2
42850,12196.0,2155.8
42900,12213.5,2158.39
42950,12231.0,2160.99
43000,12248.5,2163.58
43050,12266.0,2166.18
43100,12283.5,2168.77
43150,12301.0,2171.37
43200,12318.5,2173.96
43250,12336.0,2176.56
43300,12353.5,2179.15
43350,12371.0,2181.75
43400,12388.5,2184.34
43450,12406.0,2186.94
43500,12423.5,2189.53
43550,12441.0,2192.13
43600,12458.5,2194.72
43650,12476.0,2197.32
43700,12493.5,2199.91
43750,12511.0,2202.51
43800,12528.5,2205.1
43850,12546.0,2207.7
43900,12563.5,2210.29
43950,12581.0,2212.89
44000,12598.5,2215.48
44050,12616.0,2218.08
44100,12633.5,2220.67
44150,12651.0,2223.27
44200,12668.5,2225.86
44250,12686.0,2228.46
44300,12703.5,2231.05
44350,12721.0,2233.65
44400,12738.5,2236.24
44450,12756.0,2238.84
44500,12773.5,2241.43
44550,12791.0,2244.03
44600,12808.5,2246.62
44650,12826.0,2249.22
44700,12843.5,2251.81
44750,12861.0,2254.41
44800,12878.5,2257.0
44850,12896.0,2259.6
44900,12913.5,2262.19
44950,12931.0,2264.79
45000,12948.5,2267.38
45050,12966.0,2269.98
45100,12983.5,2272.57
45150,13001.0,2275.17
45200,13018.5,2277.76
45250,13036.0,2280.36
45300,13053.5,2282.95
45350,13071.0,2285.55
45400,13088.5,2288.14
45450,13106.0,2290.74
45500,13123.5,2293.33
45550,13141.0,2295.93
45600,13158.5,2298.52
45650,13176.0,2301.12
45700,13193.5,2303.71
45750,13211.0,2306.31
45800,13228.5,2308.9
45850,13246.0,2311.5
45900,13263.5,2314.09
45950,13281.0,2316.69
46000,13298.5,2319.28
46050,13316.0,2321.88
46100,13333.5,2324.47
46150,13351.0,2327.07
46200,13368.5,2329.66
46250,13386.0,2332.26
46300,13403.5,2334.85
46350,13421.0,2337.45
46400,13438.5,2340.04
46450,13456.0,2342.64
46500,13473.5,2345.23
46550,13491.0,2347.83
46600,13508.5,2350.42
46650,13526.0,2353.02
46700,13543.5,2355.61
46750,13561.0,2358.21
46800,13578.5,2360.8
46850,13596.0,2363.4
46900,13613.5,2365.99
46950,13631.0,2368.59
47000,13648.5,2371.18
47050,13666.0,2373.78
47100,13683.5,2376.37
47150,13701.0,2378.97
47200,13718.5,2381.56
47250,13736.0,2384.16
47300,13753.5,2386.75
47350,13771.0,2389.35
47400,13788.5,2391.94
47450,13806.0,2394.54
47500,13823.5,2397.13
47550,13841.0,2399.73
47600,13858.5,2402.32
47650,13876.0,2404.92
47700,13893.5,2407.51
47750,13911.0,2410.11
47800,13928.5,2412.7
47850,13946.0,2415.3
47900,13963.5,2417.89
47950,13981.0,2420.49
48000,13998.5,2423.08
48050,14016.0,2425.68
48100,14033.5,2428.27
48150,14051.0,2430.87
48200,14068.5,2433.46
48250,14086.0,2436.06
48300,14103.5,2438.65
48350,14121.0,2441.25
48400,14138.5,2443.84
48450,14156.0,2446.44
48500,14173.5,2449.03
48550,14191.0,2451.63
48600,14208.5,2454.22
48650,14226.0,2456.82
48700,14243.5,2459.41
48750,14261.0,2462.01
48800,14278.5,2464.6
48850,14296.0,2467.2
48900,14313.5,2469.79
48950,14331.0,2472.39
49000,14348.5,2474.98
49050,14366.0,2477.58
49100,14383.5,2480.17
49150,14401.0,2482.77
49200,14418.5,2485.36
49250,14436.0,2487.96
49300,14453.5,2490.55
49350,14471.0,2493.15
49400,14488.5,2495.74
49450,14506.0,2498.34
49500,14523.71,2500.93
49550,14542.21,2503.53
49600,14560.71,2506.12
49650,14579.21,2508.72
49700,14597.71,2511.31
49750,14616.21,2513.91
49800,14634.71,2516.5
49850,14653.21,2519.1
49900,14671.71,2521.69
49950,14690.21,2524.29
50000,14708.71,2526.88
50050,14727.21,2529.48
50100,14745.71,2532.07
50150,14764.21,2534.67
50200,14782.71,2537.26
50250,14801.21,2539.86
50300,14819.71,2542.45
50350,14838.21,2545.05
50400,14856.71,2547.64
50450,14875.21,2550.24
50500,14893.71,2552.83
50550,14912.21,2555.43
50600,14930.71,2558.02
50650,14949.21,2560.62
50700,14967.71,2563.21
50750,14986.21,2565.81
50800,15004.71,2568.4
50850,15023.21,2571.0
50900,15041.71,2573.59
50950,15060.21,2576.19
51000,15078.71,2578.78
51050,15097.21,2581.38
51100,15115.71,2583.97
51150,15134.21,2586.57
51200,15152.71,2589.16
51250,15171.21,2591.76
51300,15189.71,2594.35
51350,15208.21,2596.95
51400,15226.71,2599.54
51450,15245.21,2602.14
51500,15263.71,2604.73
51550,15282.21,2607.33
51600,15300.71,2609.92
51650,15319.21,2612.52
51700,15337.71,2615.11
51750,15356.21,2617.71
51800,15374.71,2620.3
51850,15393.21,2622.9
51900,15411.71,2625.49
51950,15430.21,2628.09
52000,15448.71,2630.68
52050,15467.21,2633.28
52100,15485.71,2635.87
52150,15504.21,2638.47
52200,15522.71,2641.06
52250,15541.21,2643.66
52300,15559.71,2646.25
52350,15578.21,2648.85
52400,15596.71,2651.44
52450,15615.21,2654.04
52500,15633.71,2656.63
52550,15652.21,2659.23
52600,15670.71,2661.82
52650,15689.21,2664.42
52700,15707.71,2667.01
52750,15726.21,2669.61
52800,15744.71,2672.2
52850,15763.21,2674.8
52900,15781.71,2677.39
52950,15800.21,2679.99
53000,15818.71,2682.58
53050,15837.21,2685.18
53100,15855.71,2687.77
53150,15874.21,2690.37
53200,15892.71,2692.96
53250,15911.21,2695.56
53300,15929.71,2698.15
53350,15948.21,2700.75
53400,15966.71,2703.34
53450,15985.21,2705.94
53500,16003.71,2708.53
53550,16022.21,2711.13
53600,16040.71,2713.72
53650,16059.21,2716.32
53700,16077.71,2718.91
53750,16096.21,2721.51
53800,16114.71,2724.1
53850,16133.21,2726.7
53900,16151.71,2729.29
53950,16170.21,2731.89
54000,16188.71,2734.48
54050,16207.21,2737.08
54100,16225.71,2739.67
54150,16244.21,2742.27
54200,16262.71,2744.86
54250,16281.21,2747.46
54300,16299.71,2750.05
54350,16318.21,2752.65
54400,16336.71,2755.24
54450,16355.21,2757.84
54500,16373.71,2760.43
54550,16392.21,2763.03
54600,16410.71,2765.62
54650,16429.21,2768.22
54700,16447.71,2770.81
54750,16466.21,2773.41
54800,16484.71,2776.0
54850,16503.21,2778.6
54900,16521.71,2781.19
54950,16540.21,2783.79
55000,16558.71,2786.38
55050,16577.21,2788.98
55100,16595.71,2791.57
55150,16614.21,2794.17
55200,16632.71,2796.76
55250,16651.21,2799.36
55300,16669.71,2801.95
55350,16688.21,2804.55
55400,16706.71,2807.14
55450,16725.21,2809.74
55500,16743.71,2812.33
55550,16762.21,2814.93
55600,16780.71,2817.52
55650,16799.21,2820.12
55700,16817.71,2822.71
55750,16836.21,2825.31
55800,16854.71,2827.9
